timestamp,latitude,longitude,accident,traffic_volume
2023-01-01T00:00:00,41.89638302478527,-87.6384561043231,0,2019
2023-01-01T01:00:00,41.81570095362557,-87.52827830283857,1,769
2023-01-01T02:00:00,41.92312707174839,-87.83506640608347,0,2119
2023-01-01T03:00:00,41.93453388298347,-87.7644974820913,0,4697
2023-01-01T04:00:00,41.761037888680775,-87.71285977977058,0,1453
2023-01-01T05:00:00,41.799969229588264,-87.49829390199517,1,4494
2023-01-01T06:00:00,41.88577042419004,-87.60436717153726,0,1441
2023-01-01T07:00:00,41.85912544445939,-87.5607414483585,0,1092
2023-01-01T08:00:00,41.877091930549746,-87.73241448272137,0,1451
2023-01-01T09:00:00,41.82691736434559,-87.73055822877436,0,1751
2023-01-01T10:00:00,41.93086387849177,-87.58949676549496,1,778
2023-01-01T11:00:00,41.92476751612574,-87.62455531021581,0,3020
2023-01-01T12:00:00,41.88206184185368,-87.58041350630224,0,1800
2023-01-01T13:00:00,41.94573447241809,-87.64669038918356,0,3646
2023-01-01T14:00:00,41.906150560535124,-87.60476706461908,0,2556
2023-01-01T15:00:00,41.82654245222701,-87.61556928235855,0,2324
2023-01-01T16:00:00,41.900225047044955,-87.55980093498236,0,2460
2023-01-01T17:00:00,41.82056704395026,-87.557169254625,0,950
2023-01-01T18:00:00,41.93080701807844,-87.77558847949527,0,3621
2023-01-01T19:00:00,41.87510444534083,-87.83205416998068,0,699
2023-01-01T20:00:00,41.86700825818729,-87.53964291421137,0,3663
2023-01-01T21:00:00,41.837244227335766,-87.52290474160642,0,4998
2023-01-01T22:00:00,41.95145248032045,-87.7216560717562,0,3867
2023-01-01T23:00:00,41.868828231075874,-87.7971851865891,0,2385
2023-01-02T00:00:00,41.852400330670214,-87.62088686610936,0,1709
2023-01-02T01:00:00,41.85697198697071,-87.54602455962845,0,4388
2023-01-02T02:00:00,41.910038551133205,-87.46801649298091,0,1434
2023-01-02T03:00:00,41.90002664386185,-87.58333321851087,0,2515
2023-01-02T04:00:00,41.90286395669576,-87.66325450269271,0,3900
2023-01-02T05:00:00,41.903949260180475,-87.71018175594264,0,4627
2023-01-02T06:00:00,42.00659885605223,-87.62876938374964,0,4620
2023-01-02T07:00:00,41.853715099016924,-87.65673382334968,0,621
2023-01-02T08:00:00,41.847365436255714,-87.7211561115156,0,4511
2023-01-02T09:00:00,41.82927363630513,-87.4454119914223,0,747
2023-01-02T10:00:00,41.91505876535453,-87.4691348438135,0,3005
2023-01-02T11:00:00,41.94583833756326,-87.52755561848001,0,4662
2023-01-02T12:00:00,41.87126315254071,-87.71267653580283,1,3343
2023-01-02T13:00:00,41.82769061138225,-87.55284826081325,0,4747
2023-01-02T14:00:00,41.82863112705853,-87.5722336231452,0,1852
2023-01-02T15:00:00,41.91713556726948,-87.58997089382164,0,1710
2023-01-02T16:00:00,41.92269525027221,-87.51733012596607,0,1765
2023-01-02T17:00:00,41.910689256098316,-87.57261659714248,0,1904
2023-01-02T18:00:00,41.83816941756268,-87.56319871873261,0,3477
